"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Hip Thrust (Barbell)",,"",0,"normal",180,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Hip Thrust (Barbell)",,"",1,"normal",180,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Hip Thrust (Barbell)",,"",2,"normal",180,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Leg Press (Machine)",,"",0,"warmup",180,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Leg Press (Machine)",,"",1,"normal",270,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Leg Press (Machine)",,"",2,"normal",270,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Leg Press (Machine)",,"",3,"normal",270,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Calf Press (Machine)",,"",0,"normal",430,10,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Calf Press (Machine)",,"",1,"normal",430,10,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Calf Press (Machine)",,"",2,"normal",430,10,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Seated Leg Curl (Machine)",,"",0,"normal",90,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Seated Leg Curl (Machine)",,"",1,"normal",90,8,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Seated Leg Curl (Machine)",,"",2,"normal",90,6,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Hip Adduction (Machine)",,"",0,"normal",90,10,,,
"🍑","22 Jul 2025, 17:21","22 Jul 2025, 17:58","","Hip Adduction (Machine)",,"",1,"normal",90,10,,,
